longitude,latitude,year,GWL,seismic_risk_score,rainfall_mm,subsidence,geology,normalized_density,density_tier,subsidence_intensity,density_concentration,normalized_seismic_risk_score,rainfall_category
113.198135,22.552282,2017,1.074755721,-18.00150221,1768.342265,1.31,Gravelly Soil,0.474391692,Medium,Minimal,Moderate,0.117009781,Medium
113.199463,22.565727,2016,0.166826803,-18.1571525,2531.312449,4.19,Residual Soil,0.277076694,Low,Minimal,Sparse,0.140995878,High
113.225159,22.553637,2019,1.127083747,-17.54124572,2145.289748,19.58,Residual Soil,0.341111862,Medium,Minimal,Moderate,0.217554869,Medium
113.230492,22.550467,2016,0.291349174,-17.40455506,2597.029632,14.4,Residual Soil,0.299049275,Low,Minimal,Sparse,0.228701953,High
113.210472,22.563765,2018,0.93242959,-17.93671992,2376.910667,18.23,Gravelly Soil,0.542785701,Medium,Minimal,Moderate,0.190277908,High
113.239243,22.553759,2017,1.277714278,-17.29673339,1864.902638,16.47,Gravelly Soil,0.506759745,Medium,Minimal,Moderate,0.218449758,Medium
113.20723,22.55014,2019,1.886301343,-17.81109324,2251.687186,40.52,Residual Soil,0.380170869,Medium,Moderate,Moderate,0.259919733,Medium
113.207466,22.567907,2017,1.475929745,-18.04576432,1840.171229,14.01,Rock,0.10168949,Low,Minimal,Sparse,0.154261904,Medium
113.241386,22.568314,2015,1.870327454,-17.46235466,1606.262177,9.24,Gravelly Soil,0.497385972,Medium,Minimal,Moderate,0.163864905,Medium
113.229202,22.550358,2015,1.3034901,-17.42571271,1613.547885,5.78,Residual Soil,0.281809673,Low,Minimal,Sparse,0.167783453,Medium
113.184708,22.56291,2023,3.01566649,-18.3814621,1781.728846,13.72,Residual Soil,0.341020907,Medium,Minimal,Moderate,0.088295071,Medium
113.196091,22.567335,2021,1.641070301,-18.23833812,1824.483028,5.69,Rock,0.100163984,Low,Minimal,Sparse,0.104938855,Medium
113.238541,22.565111,2020,1.672611394,-17.46643477,1612.937751,11,Rock,0.105869421,Low,Minimal,Sparse,0.177563114,Medium
113.208435,22.566528,2023,2.346251997,-18.0100119,2013.061514,40.9,Residual Soil,0.391979042,Medium,Moderate,Moderate,0.235787149,Medium
113.217361,22.563194,2015,1.264481037,-17.80811473,1633.741153,7.83,Rock,0.084193595,Low,Minimal,Sparse,0.152011749,Medium
113.217255,22.565762,2021,1.160557351,-17.8450747,1881.201826,10.47,Residual Soil,0.340126572,Medium,Minimal,Moderate,0.160772486,Medium
113.209953,22.563875,2015,1.725811411,-17.94733291,1564.822607,1.63,Rock,0.070167795,Low,Minimal,Sparse,0.107183438,Medium
113.210609,22.561998,2020,1.67499586,-17.91036348,1587.378442,7.43,Rock,0.111218742,Low,Minimal,Sparse,0.133301782,Medium
113.211617,22.566957,2022,1.208314427,-17.96004854,2099.946891,14.01,Gravelly Soil,0.501421001,Medium,Minimal,Moderate,0.165268678,Medium
113.225761,22.567883,2015,1.912361683,-17.72613784,1682.112863,19.5,Rock,0.104483908,Low,Minimal,Sparse,0.186529827,Medium
113.217361,22.579016,2020,2.084290433,-18.02620032,1632.630394,17.65,Residual Soil,0.351073496,Medium,Minimal,Moderate,0.151989029,Medium
113.212349,22.580965,2023,1.402950493,-18.14004953,1846.225746,10.02,Gravelly Soil,0.603746918,Medium,Minimal,Moderate,0.13250454,Medium
113.223915,22.58655,2016,1.584921473,-18.01904857,2776.544998,49.83,Residual Soil,0.356183768,Low,Moderate,Moderate,0.289312881,High
113.233551,22.592089,2023,1.980982583,-17.93378457,1958.485077,30.35,Residual Soil,0.377207334,Medium,Moderate,Moderate,0.209896779,Medium
113.212547,22.575571,2020,1.711848158,-18.06196643,1611.15553,11.69,Gravelly Soil,0.528145521,Medium,Minimal,Moderate,0.136267549,Medium
113.205139,22.585445,2015,1.26643964,-18.32716233,1578.378562,0.55,Gravelly Soil,0.452962418,Medium,Minimal,Moderate,0.086760119,Medium
113.239624,22.589066,2021,1.370830013,-17.78756729,1828.225693,4.18,Rock,0.089201711,Low,Minimal,Sparse,0.13674192,Medium
113.213188,22.569664,2018,1.588076388,-17.96957517,2508.020525,41.82,Gravelly Soil,0.506210367,Medium,Moderate,Moderate,0.26179455,High
113.191315,22.577927,2017,6.129048737,-18.46548662,1774.246704,42.11,Gravelly Soil,0.567615654,Medium,Moderate,Moderate,0.110943062,Medium
113.224098,22.577862,2020,2.666041156,-17.89376635,1770.61026,41.62,Gravelly Soil,0.617960277,Medium,Moderate,Moderate,0.238229257,Medium
113.189049,22.579107,2018,1.905463789,-18.52132259,2205.622167,1.88,Gravelly Soil,0.505050146,Medium,Minimal,Moderate,0.06195971,Medium
113.218552,22.572641,2022,1.245774471,-17.91712683,2074.464917,10.26,Rock,0.113962386,Low,Minimal,Sparse,0.154347623,Medium
113.213753,22.57695,2017,2.113840509,-18.06005882,1937.689197,33.3,Gravelly Soil,0.538857241,Medium,Moderate,Moderate,0.209136345,Medium
113.213852,22.56941,2020,1.518623871,-17.95449792,1588.203796,6.94,Gravelly Soil,0.50021295,Medium,Minimal,Moderate,0.130377101,Medium
113.212456,22.57188,2016,0.695518577,-18.01275067,2638.016776,23.35,Gravelly Soil,0.500142075,Medium,Minimal,Moderate,0.210921305,High
113.188484,22.573339,2020,4.861886595,-18.45344293,1406.481946,7.87,Residual Soil,0.344615141,Medium,Minimal,Moderate,0.012888188,Medium
113.213509,22.575253,2023,1.691521115,-18.04084864,1909.112339,21.13,Residual Soil,0.363774088,Medium,Minimal,Moderate,0.174579832,Medium
113.205696,22.589939,2015,2.133045709,-18.37999402,1731.369794,28.88,Residual Soil,0.315184271,Low,Moderate,Sparse,0.169671559,Medium
113.217361,22.581055,2019,0.942108783,-18.05461071,2041.339079,3.17,Rock,0.094361828,Low,Minimal,Sparse,0.125135241,Medium
113.21283,22.575645,2016,0.88702733,-18.05806563,2648.983787,26.07,Rock,0.112171335,Low,Moderate,Sparse,0.214404539,High
113.188751,22.603193,2017,1.814464681,-18.8575249,1817.353711,14.04,Residual Soil,0.307453591,Low,Minimal,Sparse,0.088058704,Medium
113.232071,22.601585,2021,1.12115191,-18.09564013,1831.775433,3.22,Residual Soil,0.298723671,Low,Minimal,Sparse,0.116697024,Medium
113.197639,22.601795,2015,1.855447612,-18.6847101,1651.836874,15.52,Residual Soil,0.296511511,Low,Minimal,Sparse,0.104548983,Medium
113.202278,22.60054,2018,0.361850341,-18.58733339,2314.239383,4.92,Gravelly Soil,0.517901788,Medium,Minimal,Moderate,0.109222683,Medium
113.187859,22.612146,2019,1.060395609,-18.99823274,2018.32802,1.23,Residual Soil,0.334576587,Medium,Minimal,Moderate,0.048681971,Medium
113.214745,22.598202,2016,0.145243235,-18.34083157,2579.862776,10.78,Rock,0.088328842,Low,Minimal,Sparse,0.154497971,High
113.200829,22.599472,2016,1.618127334,-18.59723543,2821.262872,56.37,Residual Soil,0.345954546,Low,Moderate,Moderate,0.273949861,High
113.169083,22.623257,2016,1.951934199,-18.82782051,2736.742465,46.41,Rock,0.15718082,Low,Moderate,Sparse,0.213535305,High
113.178185,22.611876,2016,1.120476854,-18.87517651,2726.344701,39.11,Gravelly Soil,0.57398744,Medium,Moderate,Moderate,0.20136838,High
113.190895,22.600712,2015,1.860793816,-18.78590481,1590.486144,6.95,Residual Soil,0.284826609,Low,Minimal,Sparse,0.064479832,Medium
113.227081,22.609859,2023,1.479741272,-18.29953178,1881.435812,15.57,Gravelly Soil,0.587637458,Medium,Minimal,Moderate,0.140929264,Medium
113.178413,22.616125,2023,1.765698166,-18.92654193,1802.638097,6.77,Cohesive Soil,0.842789844,High,Minimal,Dense,0.05660673,Medium
113.220757,22.630562,2023,1.144277804,-18.70837755,1811.217897,3.06,Gravelly Soil,0.539820794,Medium,Minimal,Moderate,0.073436216,Medium
113.235695,22.628817,2021,1.225103405,-18.43598826,1847.147627,6.2,Gravelly Soil,0.510370328,Medium,Minimal,Moderate,0.10211368,Medium
113.218552,22.616951,2020,1.866732481,-18.54573136,1620.189077,13.48,Rock,0.120020302,Low,Minimal,Sparse,0.108248834,Medium
113.205025,22.625679,2022,1.470377748,-18.89964508,2035.771761,6.52,Rock,0.1130576,Low,Minimal,Sparse,0.066978739,Medium
113.182838,22.612268,2019,1.15686771,-18.96922851,2055.350004,7.19,Residual Soil,0.311839561,Low,Minimal,Sparse,0.07110706,Medium
113.217369,22.621798,2019,0.929807386,-18.63614321,2048.980254,4.15,Rock,0.087467298,Low,Minimal,Sparse,0.089308492,Medium
113.215416,22.600851,2019,0.555142838,-18.3670575,2082.267756,6.21,Gravelly Soil,0.529157901,Medium,Minimal,Moderate,0.124282449,Medium
113.201996,22.620892,2020,3.002817018,-18.88163417,1627.543869,24.2,Residual Soil,0.365940348,Medium,Minimal,Moderate,0.09464674,Medium
113.202179,22.600649,2015,2.835520158,-18.59056697,1827.642732,47.95,Gravelly Soil,0.519235247,Medium,Moderate,Moderate,0.210379655,Medium
113.167503,22.625961,2022,2.157744378,-18.82846129,2180.811323,32.87,Residual Soil,0.368164695,Low,Moderate,Moderate,0.153615336,Medium
113.164688,22.672073,2015,1.670769113,-19.32250908,1581.672663,4.21,Residual Soil,0.265978408,Low,Minimal,Sparse,0.022048465,Medium
113.177895,22.662039,2017,2.029026381,-19.44636176,1834.757958,18.18,Gravelly Soil,0.498173423,Medium,Minimal,Moderate,0.058016887,Medium
113.21376,22.635807,2021,1.473281873,-18.90182232,1849.265599,8.46,Residual Soil,0.34519044,Medium,Minimal,Moderate,0.072402597,Medium
113.157234,22.669653,2016,1.119242134,-19.15503186,2640.157691,26.58,Rock,0.119713745,Low,Moderate,Sparse,0.135352863,High
113.169395,22.666103,2022,1.239705072,-19.33683888,2071.086272,9.74,Rock,0.11150329,Low,Minimal,Sparse,0.055079579,Medium
113.21167,22.649164,2018,0.441076324,-19.13449575,2325.733029,7.16,Residual Soil,0.297720733,Low,Minimal,Sparse,0.07824219,High
113.219498,22.666437,2021,2.302817706,-19.26762884,1948.567174,28.96,Residual Soil,0.380062383,Medium,Moderate,Moderate,0.104663101,Medium
113.203896,22.643465,2017,1.545343002,-19.1784422,1880.314598,20.75,Residual Soil,0.311331719,Low,Minimal,Sparse,0.098855295,Medium
113.187141,22.660818,2021,1.097730759,-19.6051173,1819.132569,1.26,Gravelly Soil,0.533043068,Medium,Minimal,Moderate,0.006185047,Medium
113.205544,22.643728,2022,1.6903623,-19.15497709,2009.603495,5.14,Residual Soil,0.311606314,Low,Minimal,Sparse,0.036614801,Medium
113.18631,22.654625,2023,2.529796101,-19.51650229,1997.307368,40.14,Gravelly Soil,0.60896895,Medium,Moderate,Moderate,0.12472364,Medium
113.177971,22.645227,2019,1.730433636,-19.24924119,2124.834192,21.48,Residual Soil,0.336901142,Low,Minimal,Moderate,0.091999858,Medium
